[Data]
39252
Pedro Silva
Push & Shove
Amy
122 BPM
0:39
10
-
[HitObjects]
64,1916,1
448,2161,1
192,2284,1
64,2407,1
320,2653,1
448,2776,1
192,3022,1
64,3145,1
448,3391,1
320,3514,1
448,3637,1
64,3760,1
192,3883,1
320,4129,1
448,4375,1
192,4620,1
64,4743,1
320,4989,1
448,5112,1
64,5358,1
192,5604,1
320,5727,1
192,5850,1
64,6096,1
448,6219,1
320,6342,1
192,6588,1
64,6711,1
64,6956,1
192,7079,1
320,7325,1
448,7448,1
192,7571,1
64,7694,1
320,7817,1
448,7940,1
320,8063,1
64,8309,1
320,8555,1
448,8678,1
448,8924,1
320,9047,1
192,9293,1
448,9538,1
192,9784,1
64,9907,1
192,10030,1
448,10276,1
192,10522,1
64,10645,1
64,10891,1
192,11014,1
448,11260,1
64,11506,1
320,11752,1
448,11875,1
320,11997,1
64,12243,1
448,12489,1
320,12612,1
320,12858,1
448,12981,1
64,13227,1
448,13473,1
64,13719,1
192,13842,1
64,13965,1
448,14211,1
320,14456,1
192,14579,1
320,14702,1
192,14825,1
320,14948,1
64,15194,1
448,15440,1
320,15686,1
192,15809,1
64,15932,1
320,16055,1
448,16178,1
192,16301,1
64,16424,1
320,16547,1
448,16670,1
64,16793,1
192,16916,1
320,17038,1
448,17161,1
320,17284,1
192,17407,1
64,17530,1
448,17653,1
320,17776,1
192,17899,1
64,18022,1
320,18145,1
192,18268,1
448,18391,1
64,18514,1
320,18637,1
192,18760,1
448,18883,1
64,19006,1
320,19129,1
192,19252,1
64,19375,1
448,19497,1
320,19620,1
192,19743,1
64,19866,1
320,19989,1
448,20112,1
192,20235,1
64,20358,1
320,20481,1
448,20604,1
64,20727,1
192,20850,1
320,20973,1
448,21096,1
192,21219,1
64,21342,1
320,21465,1
448,21588,1
64,21711,1
192,21834,1
320,21956,1
448,22079,1
192,22202,1
64,22325,1
320,22448,1
448,22571,1
192,22694,1
64,22817,1
320,22940,1
448,23063,1
192,23186,1
64,23309,1
320,23432,1
192,23555,1
64,23678,1
192,23801,1
448,24047,1
64,24293,1
192,24416,1
192,24661,1
64,24784,1
448,25030,1
64,25276,1
448,25522,1
320,25645,1
448,25768,1
320,25891,1
64,26014,1
192,26260,1
320,26383,1
320,26629,1
192,26752,1
64,26997,1
192,27120,1
320,27243,1
448,27366,1
64,27489,1
192,27612,1
64,27735,1
448,27981,1
64,28227,1
192,28350,1
192,28596,1
64,28719,1
448,28965,1
64,29211,1
192,29334,1
448,29456,1
320,29579,1
448,29702,1
64,29948,1
320,30194,1
192,30317,1
320,30440,1
192,30563,1
320,30686,1
64,30809,1
192,30932,1
448,31055,1
320,31178,1
64,31384,1
448,31629,1
192,31875,1
320,32121,1
64,32244,1
192,32490,1
448,32613,1
320,32859,1
64,33105,1
192,33228,1
320,33351,1
448,33597,1
192,33720,1
64,33843,1
320,34088,1
448,34211,1
192,34457,1
64,34580,1
320,34826,1
192,34949,1
320,35072,1
192,35195,1
320,35318,1
64,35564,1
448,35810,1
64,36056,1
320,36179,1
192,36424,1
64,36547,1
320,36793,1
448,37039,1
192,37162,1
64,37285,1
320,37531,1
448,37654,1
64,37777,1
192,38023,1
448,38146,1
320,38392,1
64,38515,1
